Date,USD/CAD,CAD/USD
2005-01-31,1.240278,0.806270852
2005-02-28,1.232134,0.811600037
2005-03-31,1.211088,0.82570383
2005-04-30,1.254543,0.797103009
2005-05-31,1.255365,0.796581074
2005-06-30,1.228558,0.813962385
2005-07-31,1.22644,0.815368057
2005-08-31,1.190318,0.840111634
2005-09-30,1.163774,0.859273364
2005-10-31,1.17981,0.847594104
2005-11-30,1.166497,0.857267528
2005-12-31,1.163166,0.859722516
2006-01-31,1.141879,0.875749532
2006-02-28,1.137752,0.878926163
2006-03-31,1.165931,0.857683688
2006-04-30,1.120466,0.892485805
2006-05-31,1.09972,0.909322373
2006-06-30,1.114319,0.89740909
2006-07-31,1.128479,0.886148524
2006-08-31,1.10609,0.904085563
2006-09-30,1.117144,0.895139749
2006-10-31,1.124656,0.889160774
2006-11-30,1.141042,0.876391929
2006-12-31,1.158645,0.863077129
2007-01-31,1.17935,0.847924704
2007-02-28,1.168613,0.85571528
2007-03-31,1.153489,0.866935012
2007-04-30,1.111168,0.899953922
2007-05-31,1.069701,0.93484067
2007-06-30,1.058698,0.944556427
2007-07-31,1.063452,0.940333931
2007-08-31,1.054901,0.947956254
2007-09-30,0.99489,1.005136246
2007-10-31,0.949188,1.053532072
2007-11-30,0.998861,1.001140299
2007-12-31,0.987034,1.013136326
2008-01-31,1.00062,0.999380384
2008-02-29,0.98185,1.018485512
2008-03-31,1.027431,0.97330137
2008-04-30,1.007846,0.99221508
2008-05-31,0.993338,1.00670668
2008-06-30,1.015547,0.984691009
2008-07-31,1.023962,0.976598741
2008-08-31,1.057798,0.945360078
2008-09-30,1.056239,0.946755422
2008-10-31,1.216053,0.822332579
2008-11-30,1.239046,0.807072538
2008-12-31,1.220094,0.819608981
2009-01-31,1.234624,0.809963195
2009-02-28,1.266918,0.789317067
2009-03-31,1.257947,0.794946051
2009-04-30,1.191808,0.839061325
2009-05-31,1.096659,0.911860478
2009-06-30,1.158242,0.863377429
2009-07-31,1.078283,0.927400321
2009-08-31,1.09979,0.909264496
2009-09-30,1.071262,0.933478458
2009-10-31,1.078769,0.926982514
2009-11-30,1.056717,0.946327162
2009-12-31,1.048238,0.953981825
2010-01-31,1.068698,0.935718042
2010-02-28,1.054788,0.948057809
2010-03-31,1.015399,0.984834533
2010-04-30,1.010584,0.989526848
2010-05-31,1.047398,0.954746906
2010-06-30,1.058041,0.945142958
2010-07-31,1.030975,0.969955625
2010-08-31,1.064619,0.939303169
2010-09-30,1.029884,0.97098314
2010-10-31,1.020348,0.980057784
2010-11-30,1.02513,0.975486036
2010-12-31,0.996645,1.003366294
2011-01-31,1.000613,0.999387376
2011-02-28,0.974689,1.025968283
2011-03-31,0.970336,1.030570854
2011-04-30,0.947086,1.055870322
2011-05-31,0.970016,1.03091083
2011-06-30,0.964519,1.036786212
2011-07-31,0.952566,1.049796025
2011-08-31,0.978425,1.022050745
2011-09-30,1.044744,0.957172283
2011-10-31,0.995561,1.004458793
2011-11-30,1.019476,0.980896068
2011-12-31,1.021566,0.978889274
2012-01-31,1.000886,0.999114784
2012-02-29,0.988582,1.011549876
2012-03-31,0.996051,1.003964656
2012-04-30,0.985808,1.014396312
2012-05-31,1.03153,0.969433754
2012-06-30,1.01976,0.980622892
2012-07-31,1.002292,0.997713241
2012-08-31,0.987389,1.012772069
2012-09-30,0.98385,1.016415104
2012-10-31,1.000052,0.999948003
2012-11-30,0.993369,1.006675264
2012-12-31,0.994356,1.005676036
2013-01-31,0.999002,1.000998997
2013-02-28,1.028201,0.972572483
2013-03-31,1.01738,0.982916904
2013-04-30,1.010629,0.989482787
2013-05-31,1.034975,0.966206913
2013-06-30,1.051627,0.950907499
2013-07-31,1.028642,0.972155522
2013-08-31,1.053513,0.949205183
2013-09-30,1.03153,0.969433754
2013-10-31,1.044338,0.957544397
2013-11-30,1.061061,0.942452884
2013-12-31,1.063692,0.940121765
2014-01-31,1.113827,0.897805494
2014-02-28,1.107973,0.902549069
2014-03-31,1.105591,0.904493615
2014-04-30,1.097027,0.911554593
2014-05-31,1.084447,0.922128974
2014-06-30,1.067157,0.937069241
2014-07-31,1.090023,0.917411834
2014-08-31,1.087484,0.919553759
2014-09-30,1.119107,0.893569605
2014-10-31,1.124891,0.888975021
2014-11-30,1.142664,0.8751479
2014-12-31,1.162125,0.860492632
2015-01-31,1.271725,0.786333523
2015-02-28,1.250778,0.79950239
2015-03-31,1.267086,0.789212413
2015-04-30,1.20653,0.828823154
2015-05-31,1.245651,0.802793078
2015-06-30,1.245991,0.802574015
2015-07-31,1.306794,0.765231551
2015-08-31,1.315369,0.760242943
2015-09-30,1.334224,0.749499334
2015-10-31,1.309285,0.763775649
2015-11-30,1.335551,0.748754634
2015-12-31,1.387153,0.720901011
2016-01-31,1.397987,0.715314234
2016-02-29,1.353315,0.738926266
2016-03-31,1.299159,0.769728725
2016-04-30,1.255009,0.796807035
2016-05-31,1.308118,0.764457029
2016-06-30,1.295846,0.771696637
2016-07-31,1.305901,0.765754831
2016-08-31,1.31099,0.762782325
2016-09-30,1.312504,0.76190244
2016-10-31,1.34173,0.745306433
2016-11-30,1.34272,0.744756911
2016-12-31,1.342804,0.744710323
2017-01-31,1.30389,0.766935861
2017-02-28,1.33137,0.751106004
2017-03-31,1.331804,0.750861238
2017-04-30,1.36412,0.733073337
2017-05-31,1.34918,0.741190946
2017-06-30,1.296404,0.771364482
2017-07-31,1.25079,0.799494719
2017-08-31,1.24746,0.80162891
2017-09-30,1.246404,0.80230808
2017-10-31,1.28916,0.775698905
2017-11-30,1.289297,0.775616479
2017-12-31,1.257696,0.795104699
2018-01-31,1.230403,0.812741841
2018-02-28,1.28353,0.779101384
2018-03-31,1.289404,0.775552116
2018-04-30,1.28323,0.779283527
2018-05-31,1.29445,0.772528873
2018-06-30,1.313604,0.76126443
2018-07-31,1.30205,0.768019661
2018-08-31,1.30475,0.766430351
2018-09-30,1.284145,0.778728259
2018-10-31,1.315835,0.759973705
2018-11-30,1.32955,0.752134181
2018-12-31,1.356505,0.737188584
2019-01-31,1.312645,0.761820599
2019-02-28,1.31652,0.759578282
2019-03-31,1.334949,0.749092287
2019-04-30,1.33899,0.746831567
2019-05-31,1.35435,0.738361576
2019-06-30,1.309125,0.763868996
2019-07-31,1.31955,0.75783411
2019-08-31,1.33625,0.748362956
2019-09-30,1.32445,0.75503039
2019-10-31,1.316835,0.759396583
